date,observed,season,trend,remainder
2024-01-23,1,1.3135029216276917e-17,1.0000000000000016,-1.5543122344752192e-15
2024-01-24,1,-1.8974979203157636e-18,1.0000000000000013,-1.3322676295501878e-15
2024-01-25,1,-7.19426494275104e-18,1.000000000000001,-1.1102230246251565e-15
2024-01-26,1,-1.661983486331996e-17,1.0000000000000009,-8.881784197001252e-16
2024-01-27,1,5.022462936495977e-18,1.0000000000000007,-6.661338147750939e-16
2024-01-28,1,-9.630527417422705e-19,1.0000000000000004,-4.440892098500626e-16
2024-01-29,1,8.517173180101446e-18,1.0000000000000004,-4.440892098500626e-16
2024-01-30,1,1.3135029216276917e-17,1.0000000000000002,-2.220446049250313e-16
2024-01-31,1,-1.8974979203157636e-18,1,0
2024-02-01,1,-7.19426494275104e-18,0.9999999999999998,2.220446049250313e-16
2024-02-02,1,-1.661983486331996e-17,0.9999999999999996,4.440892098500626e-16
2024-02-03,1,5.022462936495977e-18,0.9999999999999993,6.661338147750939e-16
2024-02-04,1,-9.630527417422705e-19,0.9999999999999992,7.771561172376096e-16
2024-02-05,1,8.517173180101446e-18,0.9999999999999991,8.881784197001252e-16
2024-02-06,1,1.3135029216276917e-17,0.9999999999999989,1.1102230246251565e-15
2024-02-07,1,-1.8974979203157636e-18,0.9999999999999987,1.3322676295501878e-15
2024-02-08,1,-7.19426494275104e-18,0.9999999999999986,1.4432899320127035e-15
2024-02-09,1,-1.661983486331996e-17,0.9999999999999984,1.5543122344752192e-15
2024-02-10,1,5.022462936495977e-18,0.9999999999999982,1.7763568394002505e-15
2024-02-11,1,-9.630527417422705e-19,0.999999999999998,1.9984014443252818e-15
2024-02-12,1,8.517173180101446e-18,0.9999999999999979,2.1094237467877974e-15
2024-02-13,1,1.3135029216276917e-17,0.999999999999998,1.9984014443252818e-15
2024-02-14,1,-1.8974979203157636e-18,0.9999999999999982,1.7763568394002505e-15
2024-02-15,1,-7.19426494275104e-18,0.9999999999999984,1.5543122344752192e-15
2024-02-16,1,-1.661983486331996e-17,0.9999999999999986,1.4432899320127035e-15
2024-02-17,1,5.022462936495977e-18,0.9999999999999987,1.3322676295501878e-15
2024-02-18,1,-9.630527417422705e-19,0.9999999999999989,1.1102230246251565e-15
2024-02-19,1,8.517173180101446e-18,0.9999999999999991,8.881784197001252e-16
2024-02-20,1,1.3135029216276917e-17,0.9999999999999992,7.771561172376096e-16
2024-02-21,1,-1.8974979203157636e-18,0.9999999999999993,6.661338147750939e-16
2024-02-22,1,-7.19426494275104e-18,0.9999999999999996,4.440892098500626e-16
2024-02-23,1,-1.661983486331996e-17,0.9999999999999997,3.3306690738754696e-16
2024-02-24,1,5.022462936495977e-18,0.9999999999999998,2.220446049250313e-16
2024-02-25,1,-9.630527417422705e-19,0.9999999999999999,1.1102230246251565e-16
2024-02-26,1,8.517173180101446e-18,1,0
2024-02-27,1,1.3135029216276917e-17,1,0
2024-02-28,1,-1.8974979203157636e-18,1.0000000000000002,-2.220446049250313e-16
2024-02-29,1,-7.19426494275104e-18,1.0000000000000004,-4.440892098500626e-16
2024-03-01,1,-1.661983486331996e-17,1.0000000000000004,-4.440892098500626e-16
2024-03-02,1,5.022462936495977e-18,1.0000000000000004,-4.440892098500626e-16
2024-03-03,1,-9.630527417422705e-19,1.0000000000000007,-6.661338147750939e-16
2024-03-04,1,8.517173180101446e-18,1.0000000000000007,-6.661338147750939e-16
2024-03-05,1,1.3135029216276917e-17,1.0000000000000004,-4.440892098500626e-16
2024-03-06,1,-1.8974979203157636e-18,1.0000000000000004,-4.440892098500626e-16
2024-03-07,1,-7.19426494275104e-18,1.0000000000000004,-4.440892098500626e-16
2024-03-08,1,-1.661983486331996e-17,1.0000000000000004,-4.440892098500626e-16
